Mach,Altitude_m_AGL,Cd
1.21,30.48,0.7575541989823421
1.22,30.48,0.7553422232283898
1.23,30.48,0.7531760539025443
1.24,30.48,0.7510543368375707
1.25,30.48,0.7489761587356522
1.26,30.48,0.7469405431810074
1.27,30.48,0.7449468283913436
1.28,30.48,0.742994215828779
1.29,30.48,0.7410822043749303
1.3,30.48,0.7392102202301215
1.31,30.48,0.7373775557080863
1.32,30.48,0.7355840138042693
1.33,30.48,0.733828936561709
1.34,30.48,0.7321119730062706
1.35,30.48,0.7304327492118321
1.36,30.48,0.7287908204836447
1.37,30.48,0.7271858807952151
1.38,30.48,0.7256175782160752
1.39,30.48,0.724085572291751
1.4,30.48,0.7225895340437617
1.41,30.48,0.72112916987794
1.42,30.48,0.7197042015014431
1.43,30.48,0.7183143640100876
1.44,30.48,0.7169593609407076
1.45,30.48,0.715638957035436
1.46,30.48,0.7143528912154207
1.47,30.48,0.7131009463931174
1.48,30.48,0.7118828873106593
1.49,30.48,0.710698503574832
1.5,30.48,0.7095475685347634
1.51,30.48,0.7084298545832491
1.52,30.48,0.7073452259210324
1.53,30.48,0.7062934472902463
1.54,30.48,0.7052743628086456
1.55,30.48,0.7042878127686539
1.56,30.48,0.7033336020783815
1.57,30.48,0.7024115930259062
1.58,30.48,0.7015216096459941
1.59,30.48,0.7006635218773855
1.6,30.48,0.699837215916478
1.61,30.48,0.6990425244050329
1.62,30.48,0.6982793249324527
1.63,30.48,0.6975475065641334
1.64,30.48,0.6968469574091385
1.65,30.48,0.6961775512315389
1.66,30.48,0.6955391971797198
1.67,30.48,0.6945929412656173
1.68,30.48,0.6929934440671112
1.69,30.48,0.6914150091420321
1.7,30.48,0.6898573467215443
1.71,30.48,0.6883201536481522
1.72,30.48,0.6868031353713558
1.73,30.48,0.6853060604586192
1.74,30.48,0.6838286247961144
1.75,30.48,0.6823706285102874
1.76,30.48,0.6809318143476173
1.77,30.48,0.6795119346179106
1.78,30.48,0.6781108123996007
1.79,30.48,0.6767281894828336
1.8,30.48,0.6753638908587082
1.81,30.48,0.6741268801292963
1.82,30.48,0.6728733525762212
1.83,30.48,0.6716253679280125
1.84,30.48,0.6703827827347519
1.85,30.48,0.6691454047735477
1.86,30.48,0.6679130561665004
1.87,30.48,0.6666856211973423
1.88,30.48,0.6654629229445066
1.89,30.48,0.6642448236960713
1.9,30.48,0.6630311895654452
1.91,30.48,0.6618218751900439
1.92,30.48,0.6606167505086076
1.93,30.48,0.6594157045865323
1.94,30.48,0.6582186073625582
1.95,30.48,0.6570253431204175
1.96,30.48,0.6558358114451668
1.97,30.48,0.6546498650615561
1.98,30.48,0.6534674609346097
1.99,30.48,0.652288449876412
2.0,30.48,0.6511127477296772
0.01,60.96,0.4888762796193661
0.02,60.96,0.5309048754465866
0.03,60.96,0.539966854466472
0.04,60.96,0.542054241384126
0.05,60.96,0.5419388392623288
